date,type
2025-03-13,bottom
2025-02-12,bottom
2025-01-10,bottom
2024-11-15,bottom
2024-12-13,top
2024-10-17,top
2024-11-15,bottom
2024-07-16,top
2024-05-23,top
2024-04-19,bottom
2024-03-21,top
2024-02-21,bottom
2023-10-27,bottom
2025-03-21,top
2025-04-07,bottom
2025-02-19,top
2025-01-24,top
2024-10-31,bottom
2024-11-11,top
2024-09-06,bottom
2024-09-19,top
2024-10-03,bottom
2024-08-05,bottom
2024-08-19,top
2024-07-25,bottom
2024-07-31,top
2024-06-20,top
2024-06-28,bottom
2024-05-31,bottom
2024-04-29,top
2024-05-01,bottom
2023-12-28,top
2024-01-05,bottom
2024-01-24,top
2024-01-31,bottom
2024-02-12,top
2024-02-13,bottom
2024-02-23,top
2024-03-05,bottom
2023-10-27,bottom
2023-11-03,top
2023-11-09,bottom
2023-11-24,top
2023-12-06,bottom
2023-08-30,top
2023-09-07,bottom
2023-09-14,top
2023-09-27,bottom
2023-10-17,top
2023-08-18,bottom
2023-07-31,top
2023-06-30,top
2023-07-10,bottom
2023-06-16,top
2023-05-31,bottom
2023-05-19,top
2023-05-04,bottom
2023-04-04,top
2023-04-26,bottom
2023-05-01,top
2023-03-06,top
2023-03-02,bottom
2023-03-13,bottom
2023-02-02,top
2023-01-05,bottom
2023-01-17,top
2023-01-19,bottom
